Temperatura média:    26.32022727272717
Umidade média:        63.32727272727273
mq3 média:            252.3840909090909
mq4 média:            427.00454545454545
mq7 média:            120.42727272727272
mq8 média:            188.8409090909091
mq135 média:          864.209090909091

24.20,78.00,303,518,125,214,889
26.40,61.00,244,420,122,188,866,Sat Dec 28 19:42:02 2024
26.40,61.00,244,421,121,187,866,Sat Dec 28 19:42:12 2024
26.40,61.00,243,421,122,188,865,Sat Dec 28 19:42:22 2024
26.40,61.00,243,420,121,189,865,Sat Dec 28 19:42:32 2024
26.40,61.00,242,419,121,188,865,Sat Dec 28 19:42:42 2024
26.40,61.00,242,419,122,189,865,Sat Dec 28 19:42:52 2024
26.40,61.00,243,419,121,191,867,Sat Dec 28 19:43:03 2024
26.40,61.00,243,419,121,191,867,Sat Dec 28 19:43:13 2024
26.40,61.00,243,418,122,192,866,Sat Dec 28 19:43:23 2024
26.40,62.00,243,417,122,192,866,Sat Dec 28 19:43:33 2024
26.40,62.00,243,416,122,191,866,Sat Dec 28 19:43:43 2024
26.40,62.00,243,416,121,192,866,Sat Dec 28 19:43:53 2024
26.40,61.00,243,417,121,191,866,Sat Dec 28 19:44:03 2024
26.40,61.00,243,419,122,190,866,Sat Dec 28 19:44:13 2024
26.40,61.00,243,419,122,189,866,Sat Dec 28 19:44:23 2024
26.40,61.00,244,420,122,189,866,Sat Dec 28 19:44:33 2024
26.40,61.00,245,421,121,188,866,Sat Dec 28 19:44:43 2024
26.40,61.00,245,421,122,188,865,Sat Dec 28 19:44:53 2024
26.40,61.00,246,423,122,189,866,Sat Dec 28 19:45:03 2024
26.40,61.00,245,422,121,189,866,Sat Dec 28 19:45:13 2024
26.40,61.00,244,422,122,189,866,Sat Dec 28 19:45:23 2024
26.40,61.00,244,421,121,190,865,Sat Dec 28 19:45:33 2024
26.40,61.00,244,421,121,191,866,Sat Dec 28 19:45:43 2024
26.40,61.00,243,419,121,192,865,Sat Dec 28 19:45:53 2024
26.40,61.00,243,419,122,191,865,Sat Dec 28 19:46:03 2024
26.40,61.00,243,418,122,190,866,Sat Dec 28 19:46:13 2024
26.40,61.00,243,416,122,191,865,Sat Dec 28 19:46:23 2024
26.40,61.00,242,415,122,190,866,Sat Dec 28 19:46:33 2024
26.40,61.00,243,416,122,190,866,Sat Dec 28 19:46:43 2024
26.40,61.00,243,417,123,190,867,Sat Dec 28 19:46:53 2024
26.40,61.00,243,419,122,190,866,Sat Dec 28 19:47:03 2024
26.40,61.00,243,420,122,191,866,Sat Dec 28 19:47:13 2024
26.40,61.00,243,419,122,191,866,Sat Dec 28 19:47:23 2024
26.40,61.00,243,417,122,191,866,Sat Dec 28 19:47:34 2024
26.40,61.00,243,416,121,191,866,Sat Dec 28 19:47:44 2024
26.40,61.00,242,416,122,191,866,Sat Dec 28 19:47:54 2024
26.40,61.00,242,415,122,190,865,Sat Dec 28 19:48:04 2024
26.40,61.00,242,417,122,189,865,Sat Dec 28 19:48:14 2024
26.40,61.00,242,418,122,189,866,Sat Dec 28 19:48:24 2024
26.40,61.00,242,417,122,190,866,Sat Dec 28 19:48:34 2024
26.40,61.00,242,416,122,191,865,Sat Dec 28 19:48:44 2024
26.40,61.00,242,415,122,190,866,Sat Dec 28 19:48:54 2024
26.40,61.00,241,415,122,191,866,Sat Dec 28 19:49:04 2024
26.40,61.00,242,413,122,190,866,Sat Dec 28 19:49:14 2024
